Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Corbin Burnes","BAL",11.763,8.11743,15.9059,3.52987,29.95,29.95,0,0,185.989,759.991,155.435,79.2895,72.9464,20.9527,56.6196,0.537636,8.5684,199.847,9.67062,2.73982,3.52965,1.0139,0.26296,0.0745004,0.18845998495817184,0.223711,1.14015,0.283717,0.726601,,,3.62202,3.55196,3.91271,20.049999237060547,5.26166,0.519098,1.05602,"19361"
"Yoshinobu Yamamoto","LAD",12.3172,7.52807,10.5517,3.68598,26.3578,26.3578,0,0,165.836,673.87,142.715,73.8247,67.9187,20.1397,44.1433,1.61387,6.08686,176.096,9.5568,2.39568,3.98919,1.09299,0.26132,0.0655072,0.19581322371959686,0.228842,1.12676,0.28679,0.712414,,,3.61874,3.53176,3.38697,38.47999954223633,5.88623,0.759142,1.0327,"sa3023345"
"Luis Castillo","SEA",13.194,9.06818,15.3589,3.53585,30.314,30.314,0,0,188.203,769.816,159.918,80.3693,73.9398,22.9305,57.0274,1.19135,7.08157,199.71,9.55026,2.72709,3.502,1.09655,0.259426,0.0740793,0.1853462979197502,0.226607,1.15272,0.283579,0.738877,,,3.73858,3.50718,3.75874,30.270000457763672,2.67781,0.380208,1.09923,"15689"
"Zac Gallen","ARI",12.6601,8.65623,14.7749,3.68718,29.8387,29.8387,0,0,185.538,760.442,164.579,82.622,76.0123,22.0298,50.2803,0.793935,7.52267,190.495,9.24047,2.43898,3.78866,1.06861,0.250506,0.0661198,0.18438605219125748,0.23423,1.15804,0.290849,0.718612,,,3.67978,3.49264,3.88785,40.22999954223633,2.87429,0.969783,1.01437,"19291"
"Max Fried","ATL",12.8079,6.5229,13.3483,3.40246,27.3187,27.3187,0,0,162.143,666.323,150.968,66.6288,61.2985,16.4215,39.7748,0.952366,5.36396,155.67,8.64071,2.20776,3.91379,0.911497,0.233626,0.059693,0.17393312603235245,0.243033,1.17638,0.299597,0.739863,,,3.48665,3.47698,4.04378,61.130001068115234,2.85917,0.482628,1.06734,"13743"
"Gerrit Cole","NYY",11.9698,6.74333,14.823,3.53343,26.8726,26.8726,0,0,170.138,685.179,143.976,72.605,66.7966,23.905,42.8717,0.477452,4.93206,190.067,10.0542,2.26784,4.4334,1.26453,0.277398,0.0625701,0.21482814103364944,0.225888,1.09821,0.283585,0.744831,,,3.69022,3.41576,3.76848,13.449999809265137,5.2857,1.02794,1.17534,"13125"
"Freddy Peralta","MIL",11.0014,8.76616,12.4974,3.7013,28.3584,28.3584,0,0,161.602,660.239,128.741,72.2386,66.4595,21.4375,55.6115,0.670521,7.24171,194.236,10.8175,3.09715,3.49272,1.19391,0.29419,0.0842294,0.20996059477329254,0.215507,1.14078,0.281111,0.726409,,,3.74251,3.39491,3.41369,53.11000061035156,2.06703,1.37454,0.965478,"18679"
"Justin Steele","CHC",11.3082,8.07765,13.3309,3.66711,29.0699,29.0699,0,0,170.717,712.582,159.865,75.6085,69.5598,18.0735,50.4561,1.22202,7.18074,165.917,8.74694,2.65999,3.28834,0.952816,0.232839,0.0708075,0.16203168034553528,0.244089,1.23199,0.301073,0.728105,,,3.70041,3.34552,3.50967,99.0999984741211,1.45639,0.327738,0.914252,"17312"
"Jesús Luzardo","MIA",10.6613,9.44897,13.2695,3.77667,28.8626,28.8626,0,0,168.296,697.865,148.264,76.7631,70.6221,21.6544,55.1425,1.08266,6.40012,191.009,10.2146,2.94887,3.46392,1.15802,0.273705,0.0790161,0.19468913972377777,0.233001,1.20862,0.298848,0.731661,,,3.75486,3.21706,3.31195,80.41999816894531,1.66786,-0.186433,0.901376,"19959"
"Tyler Glasnow","LAD",11.6616,6.31737,10.9089,3.49544,24.2145,24.2145,0,0,139.599,562.37,111.209,58.9325,54.2179,18.3334,43.37,0.477576,2.95307,176.45,11.3757,2.79607,4.06847,1.18196,0.313761,0.0771201,0.23664060980081558,0.215501,1.1073,0.289093,0.74195,,,3.42986,3.12324,3.22039,41.95000076293945,3.26741,-2.23844,1.01429,"14374"
