,Name,POS,Dollars,IP,ERA,WHIP,K/9,QS,SV,HLD,K-BB%,PL Rank,Eno
89,Kodai Senga,SP,2.8410603659169222,97.4133,3.6886400000000004,1.25753,10.4104,7.489719999999999,0.0,0.0,0.17118370532989502,,87.0
90,Caleb Thielbar,RP,2.7301251961062407,53.1667,3.70644,1.1878799999999998,10.8024,0.0,0.576838,14.8982,0.21503876149654388,,
91,Drew Rasmussen,SP,2.6977697384210413,38.6677,3.3660699999999997,1.14691,8.92958,2.37258,0.0,0.444341,0.17689912021160126,,161.0
92,John Brebbia,SP/RP,2.649396095620681,54.6431,4.21887,1.27662,9.49199,0.0,14.9006,8.81511,0.17017661780118942,,
93,Jeffrey Springs,SP,2.5997316193373425,38.7724,3.5485599999999997,1.14028,10.0889,2.88259,0.0,0.298275,0.20401330292224884,,
94,Colin Poche,RP,2.5544598024108733,58.2785,3.79713,1.2272,9.57477,0.0,2.7715799999999997,17.4645,0.16321749985218048,,
95,Aaron Civale,SP,2.22697334406065,142.58700000000002,4.04689,1.19503,8.423119999999999,8.83498,0.0,0.0,0.16236986964941025,68.0,42.0
96,Joe Jiménez,RP,2.0490750961607627,61.6747,3.8573800000000005,1.20024,11.2577,0.0,1.9232099999999999,14.2246,0.2230309098958969,,
97,Bryce Miller,SP,1.8782510826104108,143.072,4.121090000000001,1.18452,8.250110000000001,8.97748,0.0,0.0,0.16167763620615005,44.0,39.0
98,Braxton Garrett,SP,1.860326687357804,132.798,3.85759,1.23851,8.78512,8.861,0.0,0.0,0.17039841040968895,,45.0
99,Brock Stewart,RP,1.80781532275583,55.6958,3.53379,1.24685,11.3074,0.0,1.3089600000000001,13.6941,0.2019652873277664,,
100,Ryan Pepiot,SP,1.807172641373692,132.45600000000002,3.98883,1.2108299999999999,8.97146,7.64927,0.0,0.25745999999999997,0.15676676481962204,65.0,74.0
101,Andrew Nardi,RP,1.8015931225448976,65.26100000000001,3.68264,1.26556,10.9941,0.0,4.78505,14.5924,0.1910821720957756,,
102,Alex Vesia,RP,1.5704207150873288,55.1475,3.7317,1.21832,11.5204,0.0,1.38713,13.5658,0.21254336833953855,,
103,Yennier Cano,RP,1.4479467161863742,65.1056,3.6913300000000002,1.27209,8.54721,0.0,9.87728,13.8378,0.14818300306797028,,
104,Clayton Kershaw,SP,1.3888156189140528,55.1927,3.74985,1.19513,8.99115,4.03181,0.0,0.0720708,0.17129448056221008,,121.0
105,Alexis Díaz,RP,1.33823826463551,64.6133,3.8485699999999996,1.27566,11.1384,0.0,30.3718,2.38971,0.17469755560159686,,
106,Taylor Rogers,RP,1.0,56.7027,3.83215,1.23855,10.8461,0.0,3.15119,14.3582,0.19953612983226776,,
107,Triston McKenzie,SP,1.0,141.295,4.1260699999999995,1.21004,8.96386,10.1332,0.0,0.0,0.1591591313481331,,84.0
108,Hoby Milner,RP,0.734886938188712,58.8525,3.70781,1.20712,8.5313,0.0,0.39753,13.4157,0.1680319905281067,,
109,Brooks Raley,RP,0.6335618175243227,57.1696,3.81695,1.2810700000000002,9.87218,0.0,2.94408,17.1102,0.1643718034029007,,
110,Hunter Brown,SP,0.5666513679437531,151.858,3.92844,1.2639200000000002,9.69717,10.7787,0.0,0.233864,0.1692475751042366,45.0,53.0
111,Griffin Jax,RP,0.5663885811791949,60.6489,3.98515,1.2186700000000001,9.22749,0.492571,2.0333900000000003,15.3657,0.17304394394159314,,
112,DL Hall,SP,0.5398436305347515,102.73899999999999,3.89679,1.28505,10.9937,5.57033,0.543568,3.8353300000000004,0.18485277891159055,55.0,
113,Joe Kelly,RP,0.5376021565843605,54.5709,3.7235300000000002,1.26613,11.7287,0.0,1.7999599999999998,14.0773,0.20229939371347427,,
114,Trevor Bauer,SP,0.3351585895621275,45.2901,3.90826,1.1860600000000001,9.78777,3.3408800000000003,0.0,0.0,0.181039497256279,,
115,Scott Barlow,RP,0.320372602073868,66.331,3.72975,1.2556100000000001,10.0863,0.0,3.43068,13.0224,0.1734577864408493,,
116,A.J. Puk,SP,0.2710019142202743,91.4776,3.98544,1.24355,10.3032,2.77145,3.04852,2.63682,0.1954016983509064,53.0,
117,Kenley Jansen,RP,0.2546473915956248,58.6819,3.98785,1.2509700000000001,10.7454,0.0,30.1206,0.6760390000000001,0.19008640199899676,,
118,Julian Merryweather,RP,0.17715080659174487,62.7298,3.85702,1.27652,11.0907,0.0,3.30151,15.277000000000001,0.19478581100702289,,
119,Garrett Whitlock,SP,0.16373255113069618,109.682,4.12317,1.2191299999999998,8.78495,4.65451,1.6846400000000001,3.78476,0.17943935096263885,58.0,
120,Tyler Holton,RP,0.10725367417405852,56.0539,3.58336,1.18191,8.11594,0.0,0.48927,9.47048,0.152677021920681,,
121,Ryan Walker,SP/RP,-0.0500264838416411,56.1057,3.6707199999999998,1.29237,10.3065,0.0,0.382216,5.40712,0.180388867855072,,
122,Chad Green,RP,-0.10480588947562276,49.9269,3.8551300000000004,1.17377,10.2938,0.0,1.29477,10.2643,0.20625029504299164,,
