,Name,POS,Dollars,PA,HR,R,RBI,SB,OBP,SLG,OPS,wOBA
163,Esteury Ruiz,OF,-3.5286348726847407,491.596,7.762860000000001,58.5455,40.0355,53.9416,0.31174,0.362593,0.674333,0.297672
164,Ty France,1B,-3.599749768251348,601.559,14.5907,69.5847,65.4006,0.78589,0.33007600000000004,0.396814,0.7268899999999999,0.318825
165,Luis Rengifo,2B/3B/SS/OF,-3.772206989519332,533.4169999999999,17.1432,64.4955,59.6201,8.36525,0.31539,0.420023,0.735413,0.317904
166,Vaughn Grissom,2B/SS,-3.7816355862777318,500.9,9.10093,60.8467,55.2004,10.7015,0.34598,0.409143,0.755124,0.329872
167,Gabriel Moreno,C,-3.793002012982039,473.452,9.9527,53.1514,56.8661,6.00927,0.345631,0.41644499999999995,0.762076,0.332194
168,Ryan Noda,1B,-3.8784611655440737,512.898,17.7135,61.5545,54.2632,4.97978,0.336586,0.392758,0.7293430000000001,0.322265
169,Steven Kwan,OF,-3.8955045308510683,615.234,4.83699,78.6957,51.3554,17.6649,0.349352,0.375655,0.725007,0.32006599999999996
170,Danny Jansen,C,-3.969116267754576,353.986,18.1641,44.6457,53.1568,0.664706,0.31594,0.461873,0.777813,0.332988
171,Hunter Renfroe,OF,-4.06085012604748,478.87699999999995,19.4676,56.3871,61.69,0.7737350000000001,0.30638000000000004,0.43583500000000003,0.742215,0.319054
172,LaMonte Wade Jr.,1B/OF,-4.465255592229245,471.06199999999995,15.9499,57.9049,50.9691,2.52553,0.347083,0.413192,0.760275,0.332987
173,Starling Marte,OF,-4.466359400056284,484.6,11.0579,60.3833,48.3806,26.0571,0.32127100000000003,0.392727,0.7139979999999999,0.31243699999999996
174,Mark Canha,OF/DH,-4.487919071127601,507.782,11.7675,58.9157,55.044,7.36198,0.35230700000000004,0.39711799999999997,0.749425,0.331385
175,Will Benson,OF,-4.702318245455821,422.58099999999996,13.0655,57.4004,44.2304,17.0171,0.335146,0.407171,0.742316,0.325355
176,Sal Frelick,OF,-4.783987904814401,549.681,8.365730000000001,67.7598,54.239,16.5685,0.336714,0.384479,0.7211930000000001,0.316921
177,Henry Davis,OF,-4.801445616099711,476.458,14.9614,55.1879,53.5642,8.6691,0.334992,0.40914,0.744132,0.324285
178,Seth Brown,OF,-4.8029546159044365,460.027,19.6552,51.085,61.7684,5.51805,0.297352,0.432342,0.729694,0.312332
179,Tommy Edman,2B/SS/OF,-4.87241110420471,459.596,10.5911,61.8045,45.1646,22.838,0.317046,0.404952,0.721997,0.31317
180,Alex Verdugo,OF,-4.8997981344181785,529.325,13.1877,65.6622,57.038999999999994,4.09396,0.325498,0.41443500000000005,0.739933,0.320254
181,Elehuris Montero,1B,-4.985382169107063,420.718,17.4069,53.3609,57.978,0.9040799999999999,0.310494,0.447842,0.758336,0.325226
182,Mike Yastrzemski,OF,-5.026637854852253,470.499,16.9256,59.1895,54.4625,3.5074199999999998,0.32043499999999997,0.419318,0.739753,0.320326
183,Tommy Pham,OF/DH,-5.246512793571797,448.44199999999995,13.0974,57.43600000000001,50.4607,13.8048,0.32726900000000003,0.405983,0.733252,0.319904
184,Orlando Arcia,SS,-5.63922110682514,503.876,16.5941,60.8026,60.5329,2.17657,0.312098,0.407131,0.719228,0.312131
185,Michael Conforto,OF,-5.7960436887915225,469.654,14.4851,55.9687,55.152,3.1862,0.340506,0.403094,0.7436,0.3254
186,Jesus Sanchez,OF,-5.802835483765639,448.60900000000004,16.9985,51.5777,56.2696,3.0382700000000002,0.316717,0.43491,0.751627,0.323549
187,Davis Schneider,2B,-5.838618704009592,394.32599999999996,15.9265,48.8327,48.6567,4.8726400000000005,0.332452,0.436148,0.7686,0.333854
188,Gavin Lux,2B,-5.981228849496291,463.625,10.4359,60.2787,50.3512,8.8742,0.335752,0.407459,0.743211,0.324019
189,Keibert Ruiz,C,-6.06720250007369,493.75300000000004,14.6231,51.7589,58.5286,2.17869,0.317087,0.413842,0.730929,0.316708
