Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Johan Rojas","PHI",83.455,302.522,277.949,73.9255,53.3122,13.6235,2.55227,4.43749,38.1887,31.7016,14.2752,0.168905,68.3448,3.5929,1.4238,5.28104,4.00047,19.8024,3.36994,0.265967,0.0471874,0.225916,0.208871,0.308818,0.381242,0.300656,0.69006,0.115274,7.47585,0.336355,-1.07683,1.99094,32.4089,-4.45166,86.161,0.914117,3.55513,-4.272457480430603,4.843017339706421,1.08434,364.82000732421875,6.94215,-0.74214,1.63619,"24336"
"Brayan Rocchio","CLE",92.3303,378.771,343.098,84.577,57.9808,19.0165,1.97603,5.60364,44.2995,37.608,27.6554,0.108683,72.4691,4.36331,2.83128,0.822472,9.6541,9.83045,3.12432,0.24651,0.0730135,0.191327,0.381616,0.308497,0.362452,0.295073,0.670949,0.115942,5.40636,0.294834,-0.626301,-0.0452363,38.8209,-7.33004,87.6761,-0.671537,-0.147476,-6.264700651168823,3.9913752377033234,1.05658,497.54998779296875,3.87029,-0.0921357,0.949549,"23690"
"Iván Herrera","STL",52.5977,203.215,172.024,42.1127,29.0816,8.47854,0.125614,4.42696,23.8424,21.6125,24.0219,0.0882836,47.9568,3.21075,2.02614,1.93215,3.73452,2.18828,0.742482,0.244807,0.118209,0.235991,0.500907,0.344517,0.372758,0.319425,0.717275,0.127951,3.45256,0.309747,0.0172578,-0.308957,24.9377,0.177179,100.893,-0.291699,-0.397411,-0.07058842480182648,3.661057025194168,1.04736,428.5299987792969,1.9032,0.0975558,1.34808,"20599"
"Joc Pederson","ARI",109.004,425.986,368.638,93.408,55.7657,17.0202,2.71602,17.9061,55.2921,58.5036,46.3951,3.16137,93.2778,7.20245,3.48971,0.26051,7.96174,1.27149,0.763927,0.253387,0.108912,0.218969,0.497387,0.345306,0.460013,0.345146,0.80532,0.206627,3.72376,0.289342,-0.0258371,-0.886438,61.3753,9.47138,116.288,-0.912275,-1.52044,7.683213531970978,-11.766279697418213,1.03961,415.32000732421875,2.68109,-0.126965,0.382486,"11899"
"Jordan Lawlar",,80.1382,304.307,272.603,66.1259,44.4734,12.6001,2.0385,7.01393,38.9472,30.6991,24.9689,0.516918,76.6162,4.58102,1.66264,0.491798,3.46775,12.8182,2.83892,0.242573,0.0820517,0.251773,0.325896,0.314915,0.380938,0.305039,0.695853,0.138366,6.67741,0.310079,-0.622885,0.79901,33.7076,-3.37041,89.4,0.176125,0.36029,-3.8199889212846756,3.869847744703293,1.03848,345.9800109863281,6.1659,0.849748,1.20161,"29976"
"Willi Castro","MIN",103.555,403.67,363.003,89.7287,60.0324,17.5997,2.90038,9.19626,53.2014,39.0008,27.6781,0.730049,94.0537,8.17558,2.95358,1.8598,4.96359,22.9224,4.8955,0.247185,0.0685661,0.232997,0.294279,0.312542,0.38765,0.305525,0.700191,0.140465,7.26176,0.306549,-0.859594,1.78501,44.8768,-4.30802,94.1056,0.925418,-0.12955,-1.9255828857421875,-1.391186773777008,1.03689,291.6600036621094,2.24683,0.214419,1.31459,"17338"
"Luis García Jr.","WSN",114.987,466.77,434.267,118.632,82.5601,23.2987,2.72332,10.0495,54.1965,50.7662,25.4646,1.33755,70.7102,1.60041,4.20519,1.23315,9.81458,7.26624,2.9994,0.273177,0.0545549,0.151488,0.360126,0.312965,0.408794,0.310653,0.721759,0.135617,4.5895,0.303546,-0.448644,-0.647103,53.88,-2.99319,93.0045,-1.09575,-2.17699,-5.140928745269775,-0.4025017023086548,1.0325,401.67999267578125,3.6165,-0.88145,0.873891,"20391"
"J.D. Davis",,86.4873,312.994,274.345,67.9904,44.559,12.9321,0.604991,9.89432,36.0375,36.3408,31.4302,0.590959,90.227,4.45047,2.55508,0.213935,7.45045,0.603558,0.289716,0.247829,0.100418,0.28827,0.348346,0.33209,0.407573,0.323137,0.739663,0.159745,2.47301,0.328638,-0.331822,-0.616816,39.3744,1.2379,103.423,-0.948638,-0.416459,0.3569266200065613,-0.6833948791027069,1.02916,470.8699951171875,5.27762,-0.619356,0.847,"16219"
"Freddy Fermin","KCR",53.0577,195.647,178.343,45.6842,30.0107,8.47126,0.808661,6.39358,21.9298,23.5621,14.1671,0.0668307,42.1705,1.50004,1.17678,0.459666,4.58343,0.0894576,0.112084,0.256159,0.0724114,0.215544,0.335947,0.31432,0.420277,0.317779,0.734597,0.164118,2.5817,0.300029,-0.0680335,-0.380855,23.7417,-0.0967133,99.7717,-0.448889,-0.0181862,-0.5033067092299461,4.075772685930133,1.0199,412.3699951171875,2.36977,0.670321,1.38419,"21840"
"Amed Rosario","TBR",95.9017,393.805,369.199,99.6565,71.542,17.1643,4.2058,6.74452,48.8326,41.1239,19.1154,0.0187953,71.3605,2.57846,2.51991,0.392517,8.52524,10.3807,2.65003,0.269926,0.0485403,0.181207,0.267871,0.308456,0.394004,0.304435,0.70246,0.124078,6.33055,0.316443,-0.0470362,0.239368,43.4239,-4.55898,90.6768,0.192331,-0.318074,-4.281513139605522,1.1026915311813354,1.01885,343.0799865722656,4.95905,1.17458,1.10355,"15518"
"Jake Meyers","HOU",93.249,351.366,317.767,74.9919,49.1496,15.2865,1.56018,8.99559,41.189,37.4771,25.3188,0.198083,92.0061,4.91737,2.10886,1.25411,4.11054,5.88227,1.8284,0.235996,0.0720581,0.261852,0.275186,0.300555,0.378848,0.296977,0.679403,0.142852,4.96185,0.301526,0.191939,-0.205425,36.5679,-6.24409,87.7415,-0.0134857,2.03592,-5.17443869728595,3.373962879180908,1.01089,580.3900146484375,4.02168,-1.3838,0.730334,"20308"
"Nelson Velázquez","KCR",101.91,403.461,364.489,85.9712,44.4555,17.2995,1.12952,23.0866,50.6555,53.8134,32.3236,1.40399,121.802,4.06281,1.90432,0.681246,5.55416,6.23582,2.38131,0.235868,0.080116,0.301893,0.265378,0.303783,0.479548,0.332,0.783331,0.24368,4.22829,0.283898,0.0798796,-0.370017,53.7249,4.56558,109.464,-0.290137,-1.48678,4.362666219472885,-8.055034637451172,1.0004,284.6099853515625,3.37763,-0.184096,0.707454,"23359"
"Gio Urshela","DET",78.1621,308.544,285.088,78.3446,55.8075,14.617,1.46594,6.45418,33.0418,34.9686,18.4413,0.332854,54.8339,1.86533,2.80091,0.348457,8.22409,1.93683,0.812697,0.274808,0.0597689,0.177718,0.336313,0.320093,0.404282,0.31385,0.724375,0.129474,3.642,0.317256,-0.574704,-0.539559,36.4349,-1.15935,98.2928,-1.11426,-0.0206226,-1.7454213500022888,1.288238262757659,0.999754,504.4800109863281,1.83714,1.35889,1.27251,"10681"
"Luke Raley","SEA",98.574,389.888,346.667,80.5153,48.6812,14.651,1.34087,15.8422,48.5809,47.6089,28.029,0.541199,122.659,11.9877,2.44891,0.755281,4.99382,9.73942,2.3955,0.232256,0.07189,0.314602,0.228511,0.309746,0.41935,0.316194,0.729096,0.187094,5.50582,0.307069,-0.243477,0.257536,46.7995,-0.706059,104.49,0.0140587,0.241393,2.1114927735179663,-5.355487510561943,0.997451,332.1300048828125,2.54798,0.731798,0.627495,"19354"
"Tim Anderson","MIA",122.148,522.909,491.715,136.538,105.372,23.0039,2.00618,6.15655,61.7933,43.699,24.3204,0.220256,110.172,3.99368,2.21155,0.667813,12.858,14.4783,4.21218,0.277678,0.0465099,0.210691,0.220749,0.315664,0.370182,0.300299,0.685846,0.0925046,5.17592,0.345293,0.583533,0.0894302,55.8635,-7.84983,85.9991,0.672963,-4.97596,-8.396892011165619,0.5340299606323242,0.991872,317.9200134277344,3.545,-0.969366,1.29645,"15172"
"Javier Báez","DET",130.902,535.658,498.705,120.416,80.5027,22.7989,3.13908,13.9755,61.0022,60.4136,25.1887,0.371445,132.835,7.68496,3.45294,0.626216,10.4158,11.1845,3.35839,0.241458,0.0470238,0.247984,0.189624,0.286506,0.383833,0.290251,0.670339,0.142376,5.51636,0.299539,0.332721,-0.0513095,52.7555,-12.5114,81.9355,0.281412,-3.01981,-11.312958091497421,3.0404584407806396,0.989891,382.0299987792969,2.4686,0.724427,0.433449,"12979"
"Pete Crow-Armstrong",,80.4893,266.181,238.151,59.1117,38.4844,11.433,2.42244,6.77193,36.1952,29.262,18.9481,0.466525,75.5029,3.39361,1.16441,4.52486,2.53728,13.2267,3.33979,0.248212,0.0711848,0.283652,0.250958,0.311299,0.401869,0.309663,0.713168,0.153658,7.32284,0.333289,-0.789462,0.770603,30.5069,-1.92576,94.2401,-0.0188586,1.42499,-1.8870784100145102,2.667113184928894,0.980705,393.239990234375,3.24733,0.119313,1.32185,"27769"
"Victor Caratini","HOU",67.6894,249.76,221.773,52.4967,37.1017,8.43878,0.233713,6.72248,26.0252,27.6414,21.0832,0.885247,52.5491,4.07409,2.19066,0.638574,6.78238,0.994628,0.408407,0.236713,0.0844139,0.210399,0.401209,0.311712,0.36781,0.298475,0.679521,0.131096,2.58248,0.277938,-0.514844,-0.446346,26.304,-4.12771,88.7798,-0.96119,0.949817,-4.318980574607849,5.650467157363892,0.978955,549.1300048828125,2.16313,2.95233,1.0994,"14968"
