Name,Team,POS,ADP,IP,mSV,mERA,mWHIP,mSO,mHLD,mQS,PTS,aPOS,Dollars,PlayerId
Erik Swanson,TOR,RP,511.0299988,61.1258,-0.524822639,0.704623549,0.622206521,-2.718815335,4.994712465,-2.529972474,0.547932087,5.072682396,6.620614483,16587
Camilo Doval,SFG,RP,57.63999939,63.7484,6.67929462,2.422116143,-2.071616454,-2.155250966,-1.5265002,-2.837960854,0.51008229,5.072682396,6.582764686,21992
Clay Holmes,NYY,RP,103.1299973,62.9712,5.876318446,2.230115632,-1.727500805,-2.852749155,-0.417802174,-2.837960854,0.270421091,5.072682396,6.343103487,13649
Nestor Cortes,NYY,SP,242.9100037,129.141,-1.996585624,-4.287681831,1.036918265,1.106549127,-2.256140897,1.538483413,-4.858457548,10.19224434,6.33378679,17874
Jordan Romano,TOR,RP,70.44999695,58.4722,6.358339683,1.61342952,-0.482556069,-2.688788882,-1.788770109,-2.837960854,0.173693289,5.072682396,6.246375685,16122
Robert Stephenson,LAA,RP,230.2100067,57.3053,1.520231231,-0.970543697,1.614149817,-2.534340356,3.087723952,-2.837960854,-0.120739906,5.072682396,5.95194249,13594
Caleb Ferguson,NYY,SP/RP,738.8400269,55.596,-1.624024565,0.982980196,-3.096174507,-3.014243222,4.065261216,-2.837960854,-5.524161735,10.19224434,5.668082603,19349
Chris Martin,BOS,RP,458.8999939,58.5507,-1.10866732,1.376284455,0.020705264,-3.361032183,5.460286754,-2.837960854,-0.450383884,5.072682396,5.622298512,11847
Shawn Armstrong,TBR,SP/RP,747.4799805,60.6489,-1.781829021,0.090923122,-0.647618194,-3.046395268,2.6513607,-2.837960854,-5.571519515,10.19224434,5.620724823,12857
Adbert Alzolay,CHC,RP,118.9899979,63.1241,5.426217518,0.475430048,0.341282439,-2.698077707,-1.271373322,-2.837960854,-0.564481879,5.072682396,5.508200517,17859
Max Scherzer,TEX,SP,307.7000122,80.59,-1.996585624,-2.046348986,1.518407909,-1.347129634,-2.368412322,0.520205749,-5.719862909,10.19224434,5.472381429,3137
Paul Sewald,ARI,RP,83.36000061,61.4314,6.16633202,-0.325940237,-0.123565582,-2.338428574,-1.169737464,-2.837960854,-0.629300691,5.072682396,5.443381705,13892
Bailey Ober,MIN,SP,135.9100037,154.513,-1.996585624,-6.795257622,0.690255999,2.255469636,-2.368412322,2.42505858,-5.789471353,10.19224434,5.402772985,21224
Yu Darvish,SDP,SP,184.2799988,141.662,-1.996585624,-6.74347824,0.132725516,1.79002131,-2.368412322,2.793171929,-6.392557431,10.19224434,4.799686906,13074
Carlos Rodon,NYY,SP,135.7599945,138.109,-1.996585624,-6.17148126,-0.863723029,2.646303672,-2.368412322,2.16324286,-6.590655704,10.19224434,4.601588634,16137
Yuki Matsui,SDP,RP,271.0299988,61.0723,1.37299384,1.051832626,-2.077262632,-2.121578397,3.053450583,-2.837960854,-1.558524834,5.072682396,4.514157562,sa3023348
Bryan Woo,SEA,SP,177.6300049,133.541,-1.996585624,-4.015764447,-1.398513045,1.775788537,-2.245317832,1.087953948,-6.792438463,10.19224434,4.399805875,30279
Tim Mayza,TOR,RP,747.9899902,54.9092,-1.895865283,2.162613677,-1.664823128,-3.562950133,5.688800204,-2.837960854,-2.110185516,5.072682396,3.96249688,15042
Shota Imanaga,CHC,SP,185.4900055,147.344,-1.996585624,-3.516044266,-3.094801953,2.117676934,-2.368412322,1.500872546,-7.357294685,10.19224434,3.834949653,sa3023346
Robert Suarez,SDP,RP,211.7899933,62.8525,3.1396446,-0.931198438,-0.972810407,-2.871811877,2.212737951,-2.837960854,-2.261399025,5.072682396,3.811283371,30115
Jordan Montgomery,,SP,155.4900055,165.293,-1.996585624,-3.643335467,-4.937069699,2.218445411,-2.3647823,3.288119382,-7.435208297,10.19224434,3.75703604,16511
Giovanny Gallegos,STL,RP,510.6400146,60.5512,-0.509839469,-1.739309831,0.255477887,-2.838139308,5.336765335,-2.837960854,-2.333006241,5.072682396,3.739676155,14986
Justin Verlander,HOU,SP,146.8800049,130.448,-1.996585624,-4.231772478,-1.903280899,0.492490212,-2.368412322,2.344219378,-7.663341732,10.19224434,3.528902605,8700
Shane Baz,TBR,SP,253.6000061,86.8011,-1.996585624,-1.680494377,-0.599233549,-1.200845176,-2.089319888,-0.107037452,-7.673516066,10.19224434,3.518728272,22264
Chris Bassitt,TOR,SP,131.1300049,180.22,-1.996585624,-6.623728808,-4.350774314,2.920204478,-2.368412322,4.719998561,-7.699298029,10.19224434,3.492946309,12304
Yimi Garcia,TOR,RP,721.9699707,57.9673,-0.799814737,-1.12464829,0.068127505,-3.075998264,5.166919733,-2.837960854,-2.603374906,5.072682396,3.46930749,12095
Reynaldo Lopez,ATL,SP,415.5499878,80.12,-1.223567161,-1.56830465,-2.854109136,-1.430597986,1.069267186,-1.766080955,-7.773392702,10.19224434,3.418851635,16400
